original,new
AY24 CTGL Self-Assessment (Required) [Total Pts: 0 Complete/Incomplete] |410536,AY24 CTGL Self-Assessment
AY24 CTGL Self-Assessment (Required) [Total Pts: 0 Complete/Incomplete] |425756,AY24 CTGL Self-Assessment
AY24 L100 Remediation [Total Pts: 100 Score] |428323,AY24 L100 Remediation
Availability,Availability
Average [Total Pts: up to 100 Percentage] |412813,Average
C100A1 IDP [Total Pts: 100 Pass/Fail] |402930,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |402958,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403014,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403042,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403070,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403098,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403126,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403154,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403182,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403210,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403238,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403266,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403294,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403322,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403350,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403378,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403406,C100A1 IDP
C100A1 IDP [Total Pts: 100 Pass/Fail] |403434,C100A1 IDP
C100F - Final Grade (Pass/Fail) [Total Pts: 100 Pass/Fail] |402923,C100F - Final Grade (Pass/Fail)
C100F - Final Grade (Pass/Fail) [Total Pts: 100 Pass/Fail] |402951,C100F - Final Grade (Pass/Fail)
C100F - Final Grade (Pass/Fail) [Total Pts: 100 Pass/Fail] |403007,C100F - Final Grade (Pass/Fail)
C100F - Final Grade (Pass/Fail) [Total Pts: 100 Pass/Fail] |403035,C100F - Final Grade (Pass/Fail)
